sep=,
Date,Time,Item,SKU,Quantity,Unit price,Total discount,Unit cost price,Gross profit,Total (incl tax),Status
2025/02/02,09:29:07,Siya Kolisi,MM-SYK,2,40.00,0.00,,,80.00,Approved
2025/02/02,09:05:33,Justin Bieber,MM-JBB,1,13.00,0.00,,,13.00,Approved
2025/02/02,09:05:08,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/02,08:59:53,Beyoncé,MM-BEY,1,40.00,0.00,,,40.00,Approved
2025/02/02,08:43:26,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/02,08:36:00,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/01,13:35:12,Magic Johnson,MM-MAG,1,30.00,0.00,,,30.00,Approved
2025/02/01,13:35:12,Danny De Vito,MM-DDV,1,25.00,0.00,,,25.00,Approved
2025/02/01,13:32:24,Siya Kolisi,MM-SYK,2,40.00,0.00,,,80.00,Approved
2025/02/01,12:21:35,Barry White,MM-BAW,1,35.00,0.00,,,35.00,Approved
2025/02/01,11:53:11,Steve Austin,MM-AUS,2,40.00,0.00,,,80.00,Approved
2025/02/01,11:36:30,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/01,11:23:59,Milkshakes (Standard),MIL001,2,50.00,0.00,,,100.00,Approved
2025/02/01,11:21:12,Trevor Noah,MM-TRE,1,42.00,0.00,,,42.00,Approved
2025/02/01,11:07:56,Decaf,MM-DEC,1,7.00,0.00,,,7.00,Approved
2025/02/01,11:07:56,Tilda Swinton,MM-TSW,1,35.00,0.00,,,35.00,Approved
2025/02/01,09:40:22,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/01,09:40:22,Barry White,MM-BAW,1,35.00,0.00,,,35.00,Approved
2025/02/01,09:24:26,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/01,09:16:13,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/01,09:11:31,Lewis Hamilton,MM-LEW,1,30.00,0.00,,,30.00,Approved
2025/02/01,09:04:45,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/01,08:57:07,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/01,08:53:39,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/01,08:49:45,Steve Austin,MM-AUS,1,40.00,0.00,,,40.00,Approved
2025/02/01,08:39:48,Barry White,MM-BAW,1,35.00,0.00,,,35.00,Approved
2025/02/01,08:12:24,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/01,08:12:24,Alt Milk,MM-ALT,1,10.00,0.00,,,10.00,Approved
2025/02/01,08:12:04,Siya Kolisi,MM-SYK,6,40.00,0.00,,,240.00,Approved
